,0,1,2,3,4
EllipticEnvelop,precision-b1,precision,acc,recall_b1,recall
lbp_gab_glcm_hog_ori,0.6214,0.944,0.8795,0.7351,0.9088
lbp_gab_glcm_hog,0.5907,0.9363,0.8672,0.6988,0.9015
lbp,0.507,0.9154,0.8337,0.5997,0.8813
gab,0.3858,0.8851,0.7852,0.4564,0.8521
glcm,0.6108,0.9413,0.8752,0.7226,0.9063
hog,0.2853,0.8599,0.745,0.3375,0.8279
ori,0.4087,0.8908,0.7943,0.4835,0.8576
