,0,1,2,3,4
oneClass_SVM,precision-b1,precision,acc,recall_b1,recall
lbp_gab_glcm_hog_ori,0.1009,0.8979,0.5595,0.4219,0.5751
lbp_gab_glcm_hog,0.0988,0.8959,0.5183,0.4609,0.5247
lbp,0.2081,0.9154,0.8183,0.2812,0.879
gab,0.3517,0.9309,0.8643,0.3984,0.917
glcm,0.2203,0.9245,0.7976,0.3906,0.8436
hog,0.1642,0.9103,0.7913,0.2578,0.8516
ori,0.2278,0.9277,0.796,0.4219,0.8383
