,0,1,2,3,4
iForest,precision-b1,precision,acc,recall_b1,recall
lbp_gab_glcm_hog_ori,0.4683,0.9392,0.8921,0.4609,0.9408
lbp_gab_glcm_hog,0.5079,0.9436,0.9,0.5,0.9452
lbp,0.2143,0.9109,0.8413,0.2109,0.9125
gab,0.5556,0.9489,0.9095,0.5469,0.9505
glcm,0.5238,0.9453,0.9032,0.5156,0.947
hog,0.476·2,0.94,0.8937,0.4688,0.9417
ori,0.127,0.9012,0.8238,0.125,0.9028
