,0,1,2,3,4
EllipticEnvelop,precision-b1,precision,acc,recall_b1,recall
lbp_gab_glcm_hog_ori,0.381,0.9295,0.8746,0.375,0.9311
lbp_gab_glcm_hog,0.4683,0.9392,0.8921,0.4609,0.9408
lbp,0.5714,0.9506,0.9127,0.5625,0.9523
gab,0.5873,0.9524,0.9159,0.5781,0.9541
glcm,0.4286,0.9347,0.8841,0.4219,0.9364
hog,0.1587,0.9048,0.8302,0.1562,0.9064
ori,0.373,0.9286,0.873,0.3672,0.9302
