,0,1,2,3,4
oneClass_SVM,precision-b1,precision,acc,recall_b1,recall
lbp_gab_glcm_hog_ori,0.1643,0.739,0.4705,0.3557,0.5021
lbp_gab_glcm_hog,0.2415,0.8126,0.5128,0.5876,0.4922
lbp,0.4278,0.8426,0.7531,0.4278,0.8426
gab,0.6,0.8804,0.8242,0.5567,0.8979
glcm,0.601,0.8966,0.8298,0.6289,0.8851
hog,0.296,0.8151,0.6707,0.3814,0.7504
ori,0.3798,0.8502,0.7152,0.5052,0.773
