,0,1,2,3,4
LocalOutlierFactor,precision-b1,precision,acc,recall_b1,recall
lbp_gab_glcm_hog_ori,0.127,0.9012,0.8238,0.125,0.9028
lbp_gab_glcm_hog,0.2619,0.9162,0.8508,0.2578,0.9178
lbp,0.381,0.9295,0.8746,0.375,0.9311
gab,0.2698,0.9171,0.8524,0.2656,0.9187
glcm,0.1905,0.9083,0.8365,0.1875,0.9099
hog,0.381,0.9295,0.8746,0.375,0.9311
ori,0.3175,0.9224,0.8619,0.3125,0.924
