,0,1,2,3,4
iForest,precision-b1,precision,acc,recall_b1,recall
lbp_gab_glcm_hog_ori,0.7333,0.9138,0.8776,0.6804,0.9319
lbp_gab_glcm_hog,0.7444,0.9166,0.8821,0.6907,0.9348
lbp,0.5944,0.879,0.822,0.5515,0.8965
gab,0.6333,0.8887,0.8376,0.5876,0.9064
glcm,0.7944,0.9291,0.9021,0.7371,0.9475
hog,0.6389,0.8901,0.8398,0.5928,0.9078
ori,0.5944,0.879,0.822,0.5515,0.8965
